ID;Título;Localización;Precio;numero_calle;metros_cuadrados;habitaciones;baños;parcela_m2;plaza_garaje;estado;orientacion;año_construccion;calefaccion;planta;ascensor;LATITUD;LONGITUD
105107064;Piso en venta en calle de Viriato;Almagro;1680000.0;;186.0;3.0;3.0;;;Segunda mano/buen estado;;;Calefacción central;Planta 3ª exterior;True;40°26'9.94'' N;3°42'14.05'' W
105105053;Piso en venta en avenida de Burgos;Castilla;600000.0;;123.0;4.0;2.0;;;Segunda mano/buen estado;este;1988.0;Gas natural;Planta 13ª exterior;True;40°28'9.77'' N;3°40'36.82'' W
106300829;Piso en venta en calle de García de Paredes;Trafalgar;1990000.0;;268.0;4.0;3.0;;;Segunda mano/buen estado;sur;;Gas natural;Planta 3ª exterior;True;40°26'13.99'' N;3°42'14'' W
105843197;Piso en venta en calle de la Povedilla;Goya;889000.0;;94.0;3.0;2.0;;;Segunda mano/buen estado;norte;;Calefacción central;Planta 4ª interior;True;40°26'20.5'' N;3°39'58.55'' W
104797646;Piso en venta en calle de Hermosilla;Fuente del Berro;624000.0;;107.0;2.0;2.0;;;Segunda mano/buen estado;norte;1960.0;Calefacción central;Planta 1ª exterior;True;40°25'36.02'' N;3°41'21.57'' W
105514440;Piso en venta en calle de Santa Hortensia;Prosperidad;524000.0;;79.0;3.0;;;;Segunda mano/buen estado;;1970.0;Calefacción individual;Planta 1ª exterior;True;40°26'45.79'' N;3°40'13'' W
106480532;Piso en venta en calle de Núñez de Balboa;Recoletos;3380000.0;;232.0;3.0;3.0;;True;Segunda mano/buen estado;;;Calefacción central;Planta 1ª exterior;True;40°25'18.2'' N;3°40'59.4'' W
106364066;Piso en venta en calle Mayor;Palacio;1244000.0;;203.0;2.0;2.0;;;Segunda mano/buen estado;sur;1910.0;Gas natural;Planta 3ª exterior;True;40°24'59.29'' N;3°42'16.76'' W
105962129;Piso en venta en calle de Narváez;Ibiza;864900.0;;134.0;3.0;2.0;;;Segunda mano/buen estado;;;Gas;Planta 6ª interior;True;40°25'28.34'' N;3°40'32'' W
105168585;Piso en venta en calle de José Domingo Rus;Canillas;455000.0;;94.0;3.0;2.0;;;Segunda mano/buen estado;sur;1970.0;Eléctrica;Planta 1ª exterior;True;40°27'43.44'' N;3°37'59.47'' W
105265929;Piso en venta en calle de Monteleón;Trafalgar;400000.0;;52.0;2.0;;;;Segunda mano/buen estado;norte;1935.0;Calefacción individual;Planta 3ª interior;True;40°25'37.97'' N;3°42'18.89'' W
105890453;Ático en venta en calle de Juan Sánchez;Peñagrande;830000.0;;184.0;4.0;3.0;;True;Segunda mano/buen estado;este;2006.0;Gas natural;Planta 5ª exterior;True;40°28'28.67'' N;3°43'12.76'' W
106479003;Dúplex en venta en calle de la Virgen de los Peligros;Sol;2250000.0;;189.0;2.0;2.0;;;Segunda mano/buen estado;;;Calefacción individual;Planta 5ª exterior;True;40°25'5.76'' N;3°41'58.48'' W
105413336;Piso en venta en calle de Lavapiés;Lavapiés-Embajadores;339000.0;;72.0;2.0;;;;Segunda mano/buen estado;este;1970.0;Eléctrica;Planta 4ª exterior;True;40°24'44.05'' N;3°42'11.24'' W
106144167;Piso en venta en calle de la Ballesta;Malasaña-Universidad;291000.0;;37.0;;;;;Segunda mano/buen estado;;1880.0;Eléctrica;Planta 1ª interior;True;40°25'16.31'' N;3°42'13.22'' W
