titulo;localizacion;precio;caracteristicas_basicas;caracteristicas_extras;numero_calle;metros_cuadrados;habitaciones;baños;parcela_m2;plaza_garaje;estado;orientacion;año_construccion;calefaccion;planta;ascensor
Piso en venta en calle de Castelló;Castellana;2400000;['230 m² construidos', '3 habitaciones', '3 baños', 'Plaza de garaje incluida en el precio', 'Segunda mano/buen estado', 'Armarios empotrados', 'Trastero', 'Calefacción individual: Gas natural', 'Planta 5ª exterior', 'Con ascensor'];['Aire acondicionado', 'Consumo:', 'Emisiones:'];;230;3.0;3.0;;True;Segunda mano/buen estado;;;Gas natural;Planta 5ª exterior;True
Dúplex en venta en Conde Orgaz-Piovera;Hortaleza;1490000;['216 m² construidos', '4 habitaciones', '3 baños', 'Plaza de garaje incluida en el precio', 'Segunda mano/buen estado', 'Armarios empotrados', 'Trastero', 'Orientación este', 'Construido en 2016', 'Calefacción individual: Gas natural', 'Bajo exterior', 'Con ascensor'];['Aire acondicionado', 'Piscina', 'Zonas verdes', 'Consumo:', 'Emisiones:'];;216;4.0;3.0;;True;Segunda mano/buen estado;este;2016.0;Gas natural;;True
 Casa o chalet independiente en venta en Conde Orgaz-Piovera;Hortaleza;5500000;['Casa o chalet independiente', '4 plantas', '1.150 m² construidos', '8 habitaciones', '8 baños', 'Parcela de 1.285 m²', 'Terraza', 'Plaza de garaje incluida en el precio', 'Segunda mano/buen estado', 'Armarios empotrados', 'Trastero', 'Orientación sur', 'Construido en 2008', 'Calefacción individual: Gas natural'];['Aire acondicionado', 'Piscina', 'Consumo:', 'Emisiones:'];;1;8.0;8.0;1285.0;True;Segunda mano/buen estado;sur;2008.0;Gas natural;;
Piso en venta en calle de Serrano;Castellana;4400000;['306 m² construidos', '4 habitaciones', '5 baños', 'Segunda mano/buen estado', 'Armarios empotrados', 'Orientación oeste', 'No dispone de calefacción', 'Planta 3ª exterior', 'Con ascensor'];['Aire acondicionado', 'En trámite'];;306;4.0;5.0;;;Segunda mano/buen estado;oeste;;;Planta 3ª exterior;True
Dúplex en venta en calle de Santiago;Palacio;1600000;['216 m² construidos', '2 habitaciones', '3 baños', 'Balcón', 'Segunda mano/buen estado', 'Armarios empotrados', 'Trastero', 'Orientación sur', 'Construido en 1880', 'Calefacción individual', 'Planta 5ª exterior', 'Con ascensor'];['Aire acondicionado', 'Consumo:', 'Emisiones:'];;216;2.0;3.0;;;Segunda mano/buen estado;sur;1880.0;Calefacción individual;Planta 5ª exterior;True
Piso en venta en calle de Alcalá;Goya;1125000;['123 m² construidos', '2 habitaciones', '2 baños', 'Segunda mano/para reformar', 'Construido en 1910', 'Calefacción central: Gas', 'Planta 2ª exterior', 'Con ascensor'];['Aire acondicionado', 'En trámite'];;123;2.0;2.0;;;;;1910.0;Gas;Planta 2ª exterior;True
Piso en venta en calle del General Oráa;Lista;1280000;['151 m² construidos', '3 habitaciones', '4 baños', 'Balcón', 'Segunda mano/buen estado', 'Armarios empotrados', 'Trastero', 'Orientación norte', 'Construido en 1954', 'Calefacción individual: Gas natural', 'Acceso y vivienda adaptados para personas con movilidad reducida', 'Planta 3ª exterior', 'Con ascensor'];['Aire acondicionado', 'En trámite'];;151;3.0;4.0;;;Segunda mano/buen estado;norte;1954.0;Gas natural;Planta 3ª exterior;True
Piso en venta en calle de Noblejas;Palacio;1595000;['164 m² construidos, 147 m² útiles', '3 habitaciones', '3 baños', 'Balcón', 'Segunda mano/buen estado', 'Orientación norte', 'Construido en 1989', 'Calefacción individual', 'Planta 2ª exterior', 'Con ascensor'];['Aire acondicionado', 'En trámite'];;164;3.0;3.0;;;Segunda mano/buen estado;norte;1989.0;Calefacción individual;Planta 2ª exterior;True
 Casa o chalet independiente en venta en Conde Orgaz-Piovera;Hortaleza;4000000;['Casa o chalet independiente', '2 plantas', '969 m² construidos', '6 habitaciones', '6 baños', 'Parcela de 1.285 m²', 'Terraza', 'Plaza de garaje incluida en el precio', 'Segunda mano/para reformar', 'Armarios empotrados', 'Trastero', 'Orientación sur', 'Construido en 2000', 'Calefacción individual: Gas natural'];['Piscina', 'Consumo:', 'Emisiones:'];;969;6.0;6.0;1285.0;True;;sur;2000.0;Gas natural;;
Piso en venta en Carrera de San Jerónimo;Sol;2350000;['218 m² construidos', '4 habitaciones', '4 baños', 'Terraza', 'Segunda mano/buen estado', 'Construido en 1920', 'Calefacción individual: Gas natural', 'Planta 5ª exterior', 'Con ascensor'];['Aire acondicionado', 'En trámite'];;218;4.0;4.0;;;Segunda mano/buen estado;;1920.0;Gas natural;Planta 5ª exterior;True
