ID,Título,Localización,Precio,Características Básicas,Características Extras
104254787,Casa o chalet independiente en venta en El Plantío,Moncloa,4100000,"['Casa o chalet independiente', '2 plantas', '968 m² construidos', '6 habitaciones', '7 baños', 'Parcela de 2.510 m²', 'Terraza y balcón', 'Plaza de garaje incluida en el precio', 'Segunda mano/buen estado', 'Armarios empotrados', 'Trastero', 'Orientación sur', 'Construido en 2020', 'Calefacción individual', 'Solo interior de la vivienda adaptado para personas con movilidad reducida']","['Aire acondicionado', 'Piscina', 'Jardín', 'Consumo:', 'Emisiones:']"
102711209,Piso en venta en Carrera de San Jerónimo,Sol,2350000,"['218 m² construidos', '4 habitaciones', '4 baños', 'Terraza', 'Segunda mano/buen estado', 'Construido en 1920', 'Calefacción individual: Gas natural', 'Planta 5ª exterior', 'Con ascensor']","['Aire acondicionado', 'En trámite']"
106002365,Piso en venta en calle de Meléndez Valdés,Gaztambide,595000,"['80 m² construidos', '3 habitaciones', '1 baño', 'Segunda mano/buen estado', 'Armarios empotrados', 'Orientación sur', 'Calefacción central', 'Planta 3ª interior', 'Con ascensor']","['Aire acondicionado', 'Consumo:', 'Emisiones:']"
106232915,Piso en venta en calle de Santiago Bernabéu,El Viso,1550000,"['230 m² construidos', '6 habitaciones', '3 baños', 'Terraza', 'Plaza de garaje incluida en el precio', 'Segunda mano/para reformar', 'Trastero', 'Construido en 1963', 'Calefacción central', 'Acceso y vivienda adaptados para personas con movilidad reducida', 'Planta 3ª exterior', 'Con ascensor']","['Aire acondicionado', 'En trámite']"
104234563,Piso en venta en calle de Villalar,Recoletos,2490000,"['207 m² construidos', '4 habitaciones', '5 baños', 'Segunda mano/buen estado', 'Armarios empotrados', 'Orientación oeste', 'Construido en 1900', 'Calefacción individual', 'Planta 5ª exterior', 'Con ascensor']","['Aire acondicionado', 'Consumo:', 'Emisiones:']"
105897932,Dúplex en venta en calle de La Masó,Mirasierra,1500000,"['320 m² construidos', '5 habitaciones', '3 baños', 'Terraza y balcón', 'Plaza de garaje incluida en el precio', 'Segunda mano/buen estado', 'Armarios empotrados', 'Orientación sur, este', 'Calefacción central', 'Acceso y vivienda adaptados para personas con movilidad reducida', 'Planta 6ª exterior', 'Con ascensor']","['Aire acondicionado', 'Piscina', 'Zonas verdes', 'Consumo:', 'Emisiones:']"
104544416,Piso en venta en calle de Lope de Rueda,Goya,660000,"['62 m² construidos', '2 habitaciones', '2 baños', 'Segunda mano/buen estado', 'Armarios empotrados', 'Planta 4ª interior', 'Con ascensor']","['Aire acondicionado', 'Consumo:', 'Emisiones:']"
105392078,Piso en venta en calle de Hermosilla,Goya,1420000,"['115 m² construidos, 114 m² útiles', '2 habitaciones', '3 baños', 'Segunda mano/buen estado', 'Armarios empotrados', 'Construido en 1930', 'Calefacción individual: Gas natural', 'Planta 1ª exterior', 'Con ascensor']","['Aire acondicionado', 'Consumo:', 'Emisiones:']"
102750021,Casa o chalet independiente en venta en Conde Orgaz-Piovera,Hortaleza,5500000,"['Casa o chalet independiente', '4 plantas', '1.150 m² construidos', '8 habitaciones', '8 baños', 'Parcela de 1.285 m²', 'Terraza', 'Plaza de garaje incluida en el precio', 'Segunda mano/buen estado', 'Armarios empotrados', 'Trastero', 'Orientación sur', 'Construido en 2008', 'Calefacción individual: Gas natural']","['Aire acondicionado', 'Piscina', 'Consumo:', 'Emisiones:']"
104607160,N/A,N/A,N/A,[],[]
105510209,Piso en venta en calle de Serrano,Castellana,4400000,"['306 m² construidos', '4 habitaciones', '5 baños', 'Segunda mano/buen estado', 'Armarios empotrados', 'Orientación oeste', 'No dispone de calefacción', 'Planta 3ª exterior', 'Con ascensor']","['Aire acondicionado', 'En trámite']"
105436920,N/A,N/A,N/A,[],[]
